employee_id,week_starting,total_hours,overtime_hours,breached
E1001,2026-06-15,39.5,0.0,0
E1001,2026-06-22,40.75,0.0,0
E1001,2026-06-29,39.75,0.0,0
E1001,2026-07-06,41.5,0.0,0
E1001,2026-07-13,38.0,0.0,0
E1001,2026-07-20,50.0,5.0,0
E1001,2026-07-27,39.75,0.0,0
E1001,2026-08-03,37.5,0.0,0
E1001,2026-08-10,51.75,6.75,0
E1001,2026-08-17,43.5,0.0,0
E1002,2026-06-15,46.75,1.75,0
E1002,2026-06-22,50.0,5.0,0
E1002,2026-06-29,35.5,0.0,0
E1002,2026-07-06,43.5,0.0,0
E1002,2026-07-13,49.75,4.75,0
E1002,2026-07-20,37.0,0.0,0
E1002,2026-07-27,50.0,5.0,0
E1002,2026-08-03,51.5,6.5,0
E1002,2026-08-10,51.0,6.0,0
E1002,2026-08-17,35.0,0.0,0
E1003,2026-06-15,38.5,0.0,0
E1003,2026-06-22,44.5,0.0,0
E1003,2026-06-29,41.5,0.0,0
E1003,2026-07-06,41.75,0.0,0
E1003,2026-07-13,43.0,0.0,0
E1003,2026-07-20,41.0,0.0,0
E1003,2026-07-27,33.75,0.0,0
E1003,2026-08-03,38.5,0.0,0
E1003,2026-08-10,38.75,0.0,0
E1003,2026-08-17,42.75,0.0,0
E1004,2026-06-15,37.25,0.0,0
E1004,2026-06-22,43.25,0.0,0
E1004,2026-06-29,47.75,2.75,0
E1004,2026-07-06,45.75,0.75,0
E1004,2026-07-13,46.25,1.25,0
E1004,2026-07-20,48.25,3.25,0
E1004,2026-07-27,46.25,1.25,0
E1004,2026-08-03,48.75,3.75,0
E1004,2026-08-10,45.75,0.75,0
E1004,2026-08-17,48.25,3.25,0
E1005,2026-06-15,47.75,2.75,0
E1005,2026-06-22,48.0,3.0,0
E1005,2026-06-29,48.75,3.75,0
E1005,2026-07-06,46.5,1.5,0
E1005,2026-07-13,58.5,13.5,1
E1005,2026-07-20,45.25,0.25,0
E1005,2026-07-27,43.25,0.0,0
E1005,2026-08-03,46.75,1.75,0
E1005,2026-08-10,47.5,2.5,0
E1005,2026-08-17,46.0,1.0,0
E1006,2026-06-15,26.5,0.0,0
E1006,2026-06-22,44.0,0.0,0
E1006,2026-06-29,42.75,0.0,0
E1006,2026-07-06,38.0,0.0,0
E1006,2026-07-13,43.75,0.0,0
E1006,2026-07-20,48.25,3.25,0
E1006,2026-07-27,38.25,0.0,0
E1006,2026-08-03,42.25,0.0,0
E1006,2026-08-10,37.5,0.0,0
E1006,2026-08-17,23.5,0.0,0
E1007,2026-06-15,44.5,0.0,0
E1007,2026-06-22,43.75,0.0,0
E1007,2026-06-29,35.75,0.0,0
E1007,2026-07-06,47.0,2.0,0
E1007,2026-07-13,37.5,0.0,0
E1007,2026-07-20,42.25,0.0,0
E1007,2026-07-27,36.5,0.0,0
E1007,2026-08-03,38.75,0.0,0
E1007,2026-08-10,35.25,0.0,0
E1007,2026-08-17,24.25,0.0,0
E1008,2026-06-15,43.5,0.0,0
E1008,2026-06-22,30.75,0.0,0
E1008,2026-06-29,30.0,0.0,0
E1008,2026-07-06,37.5,0.0,0
E1008,2026-07-13,36.5,0.0,0
E1008,2026-07-20,42.0,0.0,0
E1008,2026-07-27,37.5,0.0,0
E1008,2026-08-03,42.75,0.0,0
E1008,2026-08-10,36.25,0.0,0
E1008,2026-08-17,36.75,0.0,0
E1009,2026-06-15,45.0,0.0,0
E1009,2026-06-22,23.25,0.0,0
E1009,2026-06-29,37.5,0.0,0
E1009,2026-07-06,36.5,0.0,0
E1009,2026-07-13,55.0,10.0,0
E1009,2026-07-20,55.5,10.5,1
E1009,2026-07-27,42.5,0.0,0
E1009,2026-08-03,50.0,5.0,0
E1009,2026-08-10,46.75,1.75,0
E1009,2026-08-17,23.5,0.0,0
E1010,2026-06-15,51.75,6.75,0
E1010,2026-06-22,44.75,0.0,0
E1010,2026-06-29,38.25,0.0,0
E1010,2026-07-06,43.75,0.0,0
E1010,2026-07-13,48.75,3.75,0
E1010,2026-07-20,44.5,0.0,0
E1010,2026-07-27,52.75,7.75,0
E1010,2026-08-03,45.5,0.5,0
E1010,2026-08-10,43.75,0.0,0
E1010,2026-08-17,36.5,0.0,0
E1011,2026-06-15,48.75,3.75,0
E1011,2026-06-22,38.0,0.0,0
E1011,2026-06-29,37.25,0.0,0
E1011,2026-07-06,40.5,0.0,0
E1011,2026-07-13,40.25,0.0,0
E1011,2026-07-20,36.75,0.0,0
E1011,2026-07-27,35.5,0.0,0
E1011,2026-08-03,38.5,0.0,0
E1011,2026-08-10,39.75,0.0,0
E1011,2026-08-17,35.75,0.0,0
E1012,2026-06-15,43.25,0.0,0
E1012,2026-06-22,46.25,1.25,0
E1012,2026-06-29,31.75,0.0,0
